Iteration	likelihood	prior	acceptance	tree	lambda1	lambda2	lambda3	mu1	mu2	mu3	q12	q13	q21	q23	q31	q32	g_lamb	g_mu	g_q	
120000	 -388.133336419955	 22.0950102481243	 0.39244262295082	 1	 0.156939177163836	 0.175784419033624	 0.185186552128014	 0.124283553772853	 0.0503327790904146	 0.0181957581679621	 0.00305393243229188	 0.00313342416409493	 0.00465862204860885	 0.00125741874543234	 0.00132874382045077	 0.00548093044211917	 0.35817293961661	 0.20064804438149	 0.00618018137065091	 
122000	 -390.762582055235	 25.0773496568515	 0.392653225806452	 1	 0.174988271388503	 0.14397637195268	 0.207845522633289	 0.0201645556463247	 0.081301376679843	 0.0594809363927481	 0.000558992086077935	 0.00698605661306063	 0.00305031671873933	 0.00508754370770424	 0.00154060726656827	 0.00397378707295894	 0.260157466101244	 0.0749925647988225	 0.00397500787989406	 
124000	 -387.85295092615	 18.4597282652171	 0.392896825396825	 1	 0.229604686570945	 0.151114430851638	 0.190300623972738	 0.105339962519254	 0.0598788239460366	 0.0229145887557442	 0.000435356657978871	 0.00159103241718864	 0.00298986817309307	 0.00901548089870928	 2.26939384737044e-05	 5.84270168778267e-06	 2.96994842439476	 0.315387970512874	 0.00238430831435917	 
126000	 -388.592440789066	 16.5019885156066	 0.3926328125	 1	 0.308061035878308	 0.136392294599325	 0.170610702971631	 0.259768117239945	 0.0291370901120953	 0.0152710614633768	 0.00438366973136704	 0.00435160686966378	 0.011247342902918	 0.00386790621409611	 0.00509390020260858	 0.00732109123734531	 1.07653447566358	 0.146211907209709	 0.00401857386619449	 
128000	 -390.367558569528	 26.5335185643549	 0.392230769230769	 1	 0.138581781409372	 0.0853439853631434	 0.140439719205194	 0.0599971118362997	 0.00815532441529995	 0.0213724381650328	 0.000549711118208096	 0.00443742814526192	 0.000487386072643327	 0.00203974066096962	 0.0058593005996138	 0.00733930651227568	 0.274957197359138	 0.0397560772030759	 0.00557364998096168	 
130000	 -387.958590002387	 22.0569595168142	 0.392477272727273	 1	 0.17073999331787	 0.177952079737194	 0.148142284247551	 0.0878056910998765	 0.0959821798182184	 0.00180060210351831	 0.00210771822200743	 0.00108832962525631	 0.00421932989648241	 0.0116773538233682	 0.00578263170380144	 0.00240519223492019	 0.236366930034152	 0.0925952731447815	 0.00822882798888795	 
132000	 -388.227614981473	 30.2699611536899	 0.392559701492537	 1	 0.150148699601364	 0.112161387933841	 0.159721416730968	 0.0248179414034287	 0.0206731412486515	 0.0318534404811472	 0.00100008484825012	 0.000706488753223763	 0.00368149641012479	 0.0109976433168812	 0.000997209795294192	 0.000397449216273156	 0.159584762353337	 0.0524535191638381	 0.00152912011203564	 
134000	 -389.141556868028	 19.6105596503992	 0.392536764705882	 1	 0.201010356037909	 0.118798292376501	 0.192393609905632	 0.152647565203451	 0.00644572447616277	 0.00582116529359988	 0.00824086074927583	 0.00236958223612099	 0.0144261042189051	 0.0238839237550168	 0.00535465305504818	 0.00194148151894856	 0.416540076167103	 0.00656629394842096	 0.00395351315885256	 
136000	 -390.228575409402	 29.7347671008656	 0.392398550724638	 1	 0.0741294807353299	 0.107966663417646	 0.189376303446477	 0.0116625921589181	 0.00754636579976184	 0.0107135720621553	 0.00783901689182947	 0.00510333730221181	 0.000283930355471497	 0.000583682839391177	 0.000570991776596998	 0.00184407862118497	 0.179308909690114	 0.00475345299478436	 0.00691720922809973	 
138000	 -385.948472416597	 25.8267650395602	 0.39265	 1	 0.2692247264026	 0.133226780383027	 0.16588731480731	 0.225594906259266	 0.0104422893083239	 0.0259974614521051	 0.00410466241584553	 0.00235873240795345	 0.000677667180906395	 0.00040778508997686	 0.00197537909634271	 0.00284183998427419	 0.181233519318462	 0.209176411828332	 0.0022268094166308	 
